City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,nova sintra,14.8667,-24.7167,23.94,72,33,3.16,CV,1699244975
161,arba minch,6.0333,37.55,18.76,88,38,0.95,ET,1699244975
162,pionerskiy,54.9508,20.2275,8.91,90,100,7.12,RU,1699244976
163,makushino,55.2103,67.2442,-1.24,82,97,4.12,RU,1699244976
164,wailua homesteads,22.0669,-159.378,28.24,75,100,8.23,US,1699244976
165,aykhal,66.0,111.5,-11.4,94,100,2.76,RU,1699244977
166,camana,-16.6228,-72.7111,18.85,81,100,2.85,PE,1699244977
167,itaueira,-7.6033,-43.0256,27.56,62,59,1.13,BR,1699244977
168,tra mhor,52.1624,-7.1524,8.74,68,66,1.79,IE,1699244977
169,razam,18.4667,83.6667,28.32,67,41,1.81,IN,1699244978
170,lubango,-14.9172,13.4925,16.84,66,100,1.13,AO,1699244978
171,tokar,18.4254,37.729,28.57,73,48,2.47,SD,1699244979
172,ulladulla,-35.35,150.4667,24.32,55,48,6.72,AU,1699244979
173,yanykurgan,43.915,67.2481,13.33,32,100,2.94,KZ,1699244979
174,vila franca do campo,37.7167,-25.4333,14.38,99,46,2.84,PT,1699244980
175,richards bay,-28.783,32.0377,21.29,86,89,5.62,ZA,1699244980
176,papatowai,-46.5619,169.4708,11.87,58,43,3.36,NZ,1699244981
177,haiku-pauwela,20.9219,-156.3051,25.58,67,20,7.2,US,1699244981
178,port alfred,-33.5906,26.891,18.09,86,42,1.21,ZA,1699244785
179,vadso,70.0744,29.7487,1.09,93,75,4.63,NO,1699244981
180,novodvinsk,64.4165,40.8122,2.66,96,100,3.72,RU,1699244982
181,arraial do cabo,-22.9661,-42.0278,21.03,67,1,7.32,BR,1699244982
182,tunceli,39.1083,39.5471,11.8,79,33,1.04,TR,1699244982
183,colonia,50.9333,6.95,11.01,81,100,0.89,DE,1699244982
184,central point,42.376,-122.9164,12.84,84,100,1.48,US,1699244983
185,olonkinbyen,70.9221,-8.7187,-1.4,70,100,11.28,SJ,1699244983
186,bukama,-9.2,25.85,21.5,98,100,0.58,CD,1699244983
187,ukholovo,53.7929,40.4892,8.34,93,95,5.36,RU,1699244984
188,holualoa,19.6228,-155.9522,25.91,77,75,4.12,US,1699244880
189,bokoro,12.3807,17.0568,25.36,16,10,4.07,TD,1699244984
190,cidreira,-30.1811,-50.2056,17.39,74,65,5.62,BR,1699244984
191,praia da vitoria,38.7333,-27.0667,13.2,82,20,3.03,PT,1699244985
192,san antonio de pale,-1.4014,5.6325,25.98,85,90,5.61,GQ,1699244985
193,laguna,38.421,-121.4238,19.49,82,40,3.6,US,1699244985
194,auki,-8.7676,160.7034,25.84,90,100,1.4,SB,1699244985
195,niquelandia,-14.4739,-48.4597,24.3,81,100,1.39,BR,1699244986
196,paphos,34.7667,32.4167,21.24,55,75,3.6,CY,1699244986
197,sao francisco,-15.9486,-44.8644,23.58,84,48,1.7,BR,1699244986
198,ceelbuur,4.685,46.6176,24.54,86,100,3.58,SO,1699244987
199,giarmata,45.8383,21.3108,9.99,83,47,2.95,RO,1699244987
200,chikwawa,-16.0335,34.8009,24.15,68,65,0.59,MW,1699244987
201,klyuchi,52.2667,79.1667,-2.11,81,33,2.71,RU,1699244987
202,saint-gaudens,43.0833,0.6667,6.12,85,9,2.1,FR,1699244988
203,alice springs,-23.7,133.8833,34.75,8,0,2.57,AU,1699244988
204,tsiombe,-25.3,45.4833,23.3,76,100,4.32,MG,1699244988
205,mamers,48.3333,0.25,8.48,94,100,4.82,FR,1699244988
206,college,64.8569,-147.8028,-7.03,88,100,1.54,US,1699244989
207,zonguldak,41.25,31.8333,12.47,72,0,2.39,TR,1699244989
208,matoury,4.8483,-52.3317,25.98,94,0,1.54,GF,1699244989
209,acheng,45.5454,126.977,-4.33,91,100,12.48,CN,1699244989
210,sao luis de montes belos,-16.525,-50.3722,23.56,53,50,1.93,BR,1699244799
211,kavaratti,10.5669,72.642,27.86,73,100,3.59,IN,1699244990
212,kalifornsky,60.4183,-151.29,-0.34,98,100,2.57,US,1699244990
213,lebu,-37.6167,-73.65,10.76,84,99,3.71,CL,1699244990
214,kapuskasing,49.4169,-82.4331,-5.0,74,75,3.6,CA,1699244991
215,saudarkrokur,65.7461,-19.6394,1.7,86,100,6.44,IS,1699244991
216,asau,46.4333,26.4,10.71,75,1,5.63,RO,1699244991
217,burang,30.25,81.1667,1.9,22,0,1.51,CN,1699244991
218,xining,36.6167,101.7667,7.55,15,0,0.62,CN,1699244991
219,umba,66.6871,34.3429,1.21,91,97,5.85,RU,1699244992
220,fortaleza,-3.7227,-38.5247,28.93,65,40,5.14,BR,1699244992
221,gutao,37.2025,112.1781,7.06,19,0,6.71,CN,1699244992
222,nagato,34.3833,131.2,21.45,88,100,9.05,JP,1699244992
223,hanawa,40.1836,140.7872,19.58,70,100,2.42,JP,1699244993
224,palmer,42.1584,-72.3287,7.27,75,0,2.06,US,1699244993
225,curuca,-0.7289,-47.8481,24.09,92,68,0.88,BR,1699244993
226,mbandjok,4.45,11.9,20.13,98,54,0.48,CM,1699244994
227,araripina,-7.5761,-40.4983,24.38,63,63,1.62,BR,1699244994
228,khandyga,62.6667,135.6,-18.8,89,98,0.66,RU,1699244994
229,chai buri,8.4622,99.0763,31.86,61,87,1.1,TH,1699244994
230,itamaraca,-7.7478,-34.8256,27.03,70,80,3.96,BR,1699244994
231,bismarck,46.8083,-100.7837,8.78,93,20,6.17,US,1699244995
232,velikiye luki,56.34,30.5452,6.87,86,100,5.28,RU,1699244995
233,calama,-22.4667,-68.9333,11.27,22,0,2.06,CL,1699244466
234,norfolk,42.1668,-71.2495,8.34,76,0,2.57,US,1699244995
235,barra de santo antonio,-9.4047,-35.5072,25.6,80,71,4.93,BR,1699244995
236,al hudaydah,14.7978,42.9545,28.73,68,96,2.73,YE,1699244996
237,margaret river,-33.95,115.0667,21.22,61,75,7.04,AU,1699244996
238,jumla,29.2747,82.1838,13.3,56,5,1.94,NP,1699244996
239,nagqu,31.5,92.0,-7.83,39,2,1.86,CN,1699244996
240,santiago de cao,-7.9589,-79.2392,19.07,82,20,3.6,PE,1699244997
241,port moresby,-9.4431,147.1797,28.68,74,75,10.29,PG,1699244997
242,hepo,23.4308,115.8299,28.13,61,87,4.09,CN,1699244880
